group,condition_group_and_cause,original_codes,icd_10_codes,exclusions,age_min,age_max,treatable,preventable
Neoplasms,Liver cancer,C22,C22,NA,0,74,0,1
Neoplasms,Lung cancer,C33-C34,C33,NA,0,74,0,1
Neoplasms,Lung cancer,C33-C34,C34,NA,0,74,0,1
Neoplasms,Mesothelioma,C45,C45,NA,0,74,0,1
Neoplasms,Skin (melanoma) cancer,C43,C43,NA,0,74,0,1
Neoplasms,Bladder cancer,C67,C67,NA,0,74,0,1
Neoplasms,Cervical cancer,C53,C53,NA,0,74,0.5,0.5
Neoplasms,Colorectal cancer,C18-C21,C18,NA,0,74,0,0
Neoplasms,Colorectal cancer,C18-C21,C19,NA,0,74,0,0
Neoplasms,Colorectal cancer,C18-C21,C20,NA,0,74,0,0
Neoplasms,Colorectal cancer,C18-C21,C21,NA,0,74,0,0
Neoplasms,Breast cancer (female only),C50,C50,NA,0,74,0,0
Neoplasms,Uterus cancer,"C54, C55",C54,NA,0,74,0,0
Neoplasms,Uterus cancer,"C54, C55",C55,NA,0,74,0,0
Neoplasms,Testicular cancer,C62,C62,NA,0,74,0,0
Neoplasms,Thyroid cancer,C73,C73,NA,0,74,0,0
Neoplasms,Hodgkin's disease,C81,C81,NA,0,74,0,0
Neoplasms,Lymphoid leukaemia,"C91.0, C91.1",C91.0,NA,0,74,0,0
Neoplasms,Lymphoid leukaemia,"C91.0, C91.1",C91.1,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D10,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D11,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D12,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D13,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D14,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D15,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D16,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D17,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D18,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D19,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D20,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D21,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D22,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D23,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D24,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D25,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D26,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D27,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D28,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D29,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D30,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D31,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D32,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D33,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D34,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D35,NA,0,74,0,0
Neoplasms,Benign neoplasm,D10-D36,D36,NA,0,74,0,0
Endocrine and metabolic diseases,Nutritional deficiency anaemia,D50-D53,D50,NA,0,74,0,1
Endocrine and metabolic diseases,Nutritional deficiency anaemia,D50-D53,D51,NA,0,74,0,1
Endocrine and metabolic diseases,Nutritional deficiency anaemia,D50-D53,D52,NA,0,74,0,1
Endocrine and metabolic diseases,Nutritional deficiency anaemia,D50-D53,D53,NA,0,74,0,1
Endocrine and metabolic diseases,Diabetes mellitus,E10-E14,E10,NA,0,74,0.5,0.5
Endocrine and metabolic diseases,Diabetes mellitus,E10-E14,E11,NA,0,74,0.5,0.5
Endocrine and metabolic diseases,Diabetes mellitus,E10-E14,E12,NA,0,74,0.5,0.5
Endocrine and metabolic diseases,Diabetes mellitus,E10-E14,E13,NA,0,74,0.5,0.5
Endocrine and metabolic diseases,Diabetes mellitus,E10-E14,E14,NA,0,74,0.5,0.5
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E00,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E01,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E02,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E03,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E04,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E05,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E06,NA,0,74,0,0
Endocrine and metabolic diseases,Thyroid disorders,E00-E07,E07,NA,0,74,0,0
Endocrine and metabolic diseases,Adrenal disorders,"E24-E25 (excl. E24.4), E27",E24,E24.4,0,74,0,0
Endocrine and metabolic diseases,Adrenal disorders,"E24-E25 (excl. E24.4), E27",E25,E24.4,0,74,0,0
Endocrine and metabolic diseases,Adrenal disorders,"E24-E25 (excl. E24.4), E27",E27,NA,0,74,0,0
Diseases of the nervous system,Epilepsy,"G40, G41",G40,NA,0,74,0,0
Diseases of the nervous system,Epilepsy,"G40, G41",G41,NA,0,74,0,0
Diseases of the circulatory system,Aortic aneurysm,I71,I71,NA,0,74,0.5,0.5
Diseases of the circulatory system,Hypertensive diseases,"I10-I13, I15",I10,NA,0,74,0.5,0.5
Diseases of the circulatory system,Hypertensive diseases,"I10-I13, I15",I11,NA,0,74,0.5,0.5
Diseases of the circulatory system,Hypertensive diseases,"I10-I13, I15",I12,NA,0,74,0.5,0.5
Diseases of the circulatory system,Hypertensive diseases,"I10-I13, I15",I13,NA,0,74,0.5,0.5
Diseases of the circulatory system,Hypertensive diseases,"I10-I13, I15",I15,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I20,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I21,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I22,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I23,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I24,NA,0,74,0.5,0.5
Diseases of the circulatory system,Ischaemic heart diseases,I20-I25,I25,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I60,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I61,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I62,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I63,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I64,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I65,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I66,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I67,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I68,NA,0,74,0.5,0.5
Diseases of the circulatory system,Cerebrovascular diseases,I60-I69,I69,NA,0,74,0.5,0.5
Diseases of the circulatory system,Other atherosclerosis,"I70, I73.9",I70,NA,0,74,0.5,0.5
Diseases of the circulatory system,Other atherosclerosis,"I70, I73.9",I73.9,NA,0,74,0.5,0.5
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I00,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I01,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I02,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I03,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I04,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I05,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I06,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I07,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I08,NA,0,74,0,0
Diseases of the circulatory system,Rheumatic and other heart diseases,I00-I09,I09,NA,0,74,0,0
Diseases of the circulatory system,Venous thromboembolism,"I26, I80",I26,NA,0,74,0,0
Diseases of the circulatory system,Venous thromboembolism,"I26, I80",I80,NA,0,74,0,0
Diseases of the respiratory system,Influenza,J09-J11,J09,NA,0,74,0,1
Diseases of the respiratory system,Influenza,J09-J11,J10,NA,0,74,0,1
Diseases of the respiratory system,Influenza,J09-J11,J11,NA,0,74,0,1
Diseases of the respiratory system,Pneumonia due to streptococcus pneumonia or haemophilus influenza,J13-J14,J13,NA,0,74,0,1
Diseases of the respiratory system,Pneumonia due to streptococcus pneumonia or haemophilus influenza,J13-J14,J14,NA,0,74,0,1
Diseases of the respiratory system,Chronic lower respiratory diseases,J40-J44,J40,NA,0,74,0,1
Diseases of the respiratory system,Chronic lower respiratory diseases,J40-J44,J41,NA,0,74,0,1
Diseases of the respiratory system,Chronic lower respiratory diseases,J40-J44,J42,NA,0,74,0,1
Diseases of the respiratory system,Chronic lower respiratory diseases,J40-J44,J43,NA,0,74,0,1
Diseases of the respiratory system,Chronic lower respiratory diseases,J40-J44,J44,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J60,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J61,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J62,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J63,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J64,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J66,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J67,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J68,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J69,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J70,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J82,NA,0,74,0,1
Diseases of the respiratory system,Lung diseases due to external agents,"J60-J64, J66-J70, J82, J92",J92,NA,0,74,0,1
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J00,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J01,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J02,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J03,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J04,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J05,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J06,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J30,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J31,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J32,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J33,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J34,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J35,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J36,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J37,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J38,NA,0,74,0,0
Diseases of the respiratory system,Upper respiratory infections,"J00-J06, J30-J39",J39,NA,0,74,0,0
Diseases of the respiratory system,"Pneumonia, not elsewhere classified or organism unspecified","J12, J15, J16-J18",J12,NA, 0,74,0,0
Diseases of the respiratory system,"Pneumonia, not elsewhere classified or organism unspecified","J12, J15, J16-J18",J15,NA, 0,74,0,0
Diseases of the respiratory system,"Pneumonia, not elsewhere classified or organism unspecified","J12, J15, J16-J18",J16,NA, 0,74,0,0
Diseases of the respiratory system,"Pneumonia, not elsewhere classified or organism unspecified","J12, J15, J16-J18",J17,NA, 0,74,0,0
Diseases of the respiratory system,"Pneumonia, not elsewhere classified or organism unspecified","J12, J15, J16-J18",J18,NA, 0,74,0,0
Diseases of the respiratory system,Acute lower respiratory infections,J20-J22,J20,NA, 0,74,0,0
Diseases of the respiratory system,Acute lower respiratory infections,J20-J22,J21,NA, 0,74,0,0
Diseases of the respiratory system,Acute lower respiratory infections,J20-J22,J22,NA, 0,74,0,0
Diseases of the respiratory system,Asthma and bronchiectasis,J45-J47,J45,NA,0,74 ,0,0
Diseases of the respiratory system,Asthma and bronchiectasis,J45-J47,J46,NA,0,74 ,0,0
Diseases of the respiratory system,Asthma and bronchiectasis,J45-J47,J47,NA,0,74 ,0,0
Diseases of the respiratory system,Adult respiratory distress syndrome,J80,J80,NA, 0,74,0,0
Diseases of the respiratory system,Pulmonary oedema,J81,J81,NA,0,74,0,0
Diseases of the respiratory system,Abscess of lung and mediastinum pyothorax,"J85, J86",J85,NA,0,74,0,0
Diseases of the respiratory system,Abscess of lung and mediastinum pyothorax,"J85, J86",J86,NA,0,74,0,0
Diseases of the respiratory system,Other pleural disorders,"J90, J93, J94",J90,NA,0,74,0,0
Diseases of the respiratory system,Other pleural disorders,"J90, J93, J94",J93,NA,0,74,0,0
Diseases of the respiratory system,Other pleural disorders,"J90, J93, J94",J94,NA,0,74,0,0
Diseases of the digestive system,Gastric and duodenal ulcer,K25-K28,K25,NA,0,74,0,0
Diseases of the digestive system,Gastric and duodenal ulcer,K25-K28,K26,NA,0,74,0,0
Diseases of the digestive system,Gastric and duodenal ulcer,K25-K28,K27,NA,0,74,0,0
Diseases of the digestive system,Gastric and duodenal ulcer,K25-K28,K28,NA,0,74,0,0
Diseases of the digestive system,Appendicitis,K35-K38,K35,NA,0,74,0,0
Diseases of the digestive system,Appendicitis,K35-K38,K36,NA,0,74,0,0
Diseases of the digestive system,Appendicitis,K35-K38,K37,NA,0,74,0,0
Diseases of the digestive system,Appendicitis,K35-K38,K38,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K40,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K41,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K42,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K43,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K44,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K45,NA,0,74,0,0
Diseases of the digestive system,Abdominal hernia,K40-K46,K46,NA,0,74,0,0
Diseases of the digestive system,Cholelithiasis and cholecystitis,K80-K81,K80,NA,0,74,0,0
Diseases of the digestive system,Cholelithiasis and cholecystitis,K80-K81,K81,NA,0,74,0,0
Diseases of the digestive system,Other diseases of gallbladder or biliary tract,K82-K83,K82,NA,0,74,0,0
Diseases of the digestive system,Other diseases of gallbladder or biliary tract,K82-K83,K83,NA,0,74,0,0
Diseases of the digestive system,Acute pancreatitis,"K85.0, K85.1, K85.3, K85.8, K85.9",K85.0,NA,0,74,0,0
Diseases of the digestive system,Acute pancreatitis,"K85.0, K85.1, K85.3, K85.8, K85.9",K85.1,NA,0,74,0,0
Diseases of the digestive system,Acute pancreatitis,"K85.0, K85.1, K85.3, K85.8, K85.9",K85.3,NA,0,74,0,0
Diseases of the digestive system,Acute pancreatitis,"K85.0, K85.1, K85.3, K85.8, K85.9",K85.8,NA,0,74,0,0
Diseases of the digestive system,Acute pancreatitis,"K85.0, K85.1, K85.3, K85.8, K85.9",K85.9,NA,0,74,0,0
Diseases of the digestive system,Other diseases of pancreas,"K86.1, K86.2, K86.3, K86.8, K86.9",K86.1,NA,0,74,0,0
Diseases of the digestive system,Other diseases of pancreas,"K86.1, K86.2, K86.3, K86.8, K86.9",K86.2,NA,0,74,0,0
Diseases of the digestive system,Other diseases of pancreas,"K86.1, K86.2, K86.3, K86.8, K86.9",K86.3,NA,0,74,0,0
Diseases of the digestive system,Other diseases of pancreas,"K86.1, K86.2, K86.3, K86.8, K86.9",K86.8,NA,0,74,0,0
Diseases of the digestive system,Other diseases of pancreas,"K86.1, K86.2, K86.3, K86.8, K86.9",K86.9,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N00,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N01,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N02,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N03,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N04,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N05,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N06,NA,0,74,0,0
Diseases of the genitourinary system,Nephritis and nephrosis,N00-N07,N07,NA,0,74,0,0
Diseases of the genitourinary system,Obstructive uropathy,"N13, N20-N21, N35",N13,NA,0,74,0,0
Diseases of the genitourinary system,Obstructive uropathy,"N13, N20-N21, N35",N20,NA,0,74,0,0
Diseases of the genitourinary system,Obstructive uropathy,"N13, N20-N21, N35",N21,NA,0,74,0,0
Diseases of the genitourinary system,Obstructive uropathy,"N13, N20-N21, N35",N35,NA,0,74,0,0
Diseases of the genitourinary system,Renal failure,N17-N19,N17,NA,0,74,0,0
Diseases of the genitourinary system,Renal failure,N17-N19,N18,NA,0,74,0,0
Diseases of the genitourinary system,Renal failure,N17-N19,N19,NA,0,74,0,0
Diseases of the genitourinary system,Renal colic,N23,N23,NA,0,74,0,0
Diseases of the genitourinary system,Disorders resulting from renal tubular dysfunction,N25,N25,NA,0,74,0,0
Diseases of the genitourinary system,"Unspecified contracted kidney, small kidney of unknown cause",N26-N27,N26,NA,0,74,0,0
Diseases of the genitourinary system,"Unspecified contracted kidney, small kidney of unknown cause",N26-N27,N27,NA,0,74,0,0
Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,"N34.1, N70-N73, N75.0, N75.1, N76.4, N76.6",N34.1,NA,0,74,0,0
Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,"N34.1, N70-N73, N75.0, N75.1, N76.4, N76.6",N70,NA,0,74,0,0
Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,"N34.1, N70-N73, N75.0, N75.1, N76.4, N76.6",N71,NA,0,74,0,0
Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,"N34.1, N70-N73, N75.0, N75.1, N76.4, N76.6",N72,NA,0,74,0,0
Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,"N34.1, N70-N73, N75.0, N75.1, N76.4, N76.6",N73,NA,0,74,0,0
